title,make,model,year,condition,transmission,price
Toyota Land Cruiser Prado 2.8 D-4D 2016 White,Toyota,Land Cruiser,2016,local used,manual,"₦ 40,500,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2010 White,Mercedes-Benz,E350 Base,2010,local used,automatic,"₦ 10,600,000"
Toyota Camry 2003 Silver,Toyota,Camry,2003,local used,automatic,"₦ 4,200,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Black,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 175,000,000"
New Lexus GX 2025 Gray,New,Lexus GX,2025,new,automatic,"₦ 250,000,000"
Mercedes-Benz GLC-Class 2023 Black,Mercedes-Benz,GLC-Class,2023,foreign used,automatic,"₦ 130,000,000"
BMW X7 M50i 2021 Black,BMW,X7 M50i,2021,foreign used,automatic,"₦ 105,000,000"
Hyundai Sonata ECO Sedan FWD (1.6L 4cyl 7A) 2016 Black,Hyundai,Sonata ECO,2016,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2014 White,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 24,800,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2015 Black,Toyota,RAV4 Limited,2015,foreign used,automatic,"₦ 25,500,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 46,000,000"
Mercedes-Benz GLE-Class 2025 Gray,Mercedes-Benz,GLE-Class,2025,foreign used,automatic,"₦ 250,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 White,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 38,500,000"
Mercedes-Benz S-Class S 560 4MATIC (W222) 2018 Black,Mercedes-Benz,S-Class S,2018,foreign used,automatic,"₦ 96,000,000"
