title,make,model,year,condition,transmission,price
Mercedes-Benz M Class 2013 White,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 16,800,000"
Lexus IS 250 2008 White,Lexus,IS 250,2008,foreign used,automatic,"₦ 12,000,000"
Toyota Camry SE Sport 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014,Toyota,Camry SE,2014,local used,automatic,"₦ 11,000,000"
Audi A6 Allroad Quattro 3.0 TFSi 2011 Black,Audi,A6 Allroad,2011,foreign used,automatic,"₦ 15,400,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Green,Toyota,Camry LE,2008,local used,automatic,"₦ 7,300,000"
Honda Accord 1999 Silver,Honda,Accord,1999,local used,automatic,"₦ 2,500,000"
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2016 Black,Toyota,RAV4 Limited,2016,foreign used,automatic,"₦ 28,000,000"
Mercedes-Benz M Class 2013 White,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 18,500,000"
Toyota Highlander LE 4x4 V6 (3.5L 6cyl 8A) 2018 White,Toyota,Highlander LE,2018,foreign used,,"₦ 35,000,000"
Honda CR-V EX 4WD Automatic 2003 Gray,Honda,CR-V EX,2003,local used,automatic,"₦ 3,700,000"
Toyota 4-Runner 2005 Gray,Toyota,4-Runner,2005,local used,automatic,"₦ 6,300,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry XLE,2014,local used,automatic,"₦ 10,500,000"
Hyundai Elantra 2.0 GLS Automatic 2009 Black,Hyundai,Elantra 2,2009,local used,automatic,"₦ 4,000,000"
Toyota Camry 2006 Black,Toyota,Camry,2006,local used,automatic,"₦ 4,500,000"
Hyundai Elantra SE Sedan FWD (2.0L 4cyl 6M) 2017 Beige,Hyundai,Elantra SE,2017,foreign used,automatic,"₦ 13,500,000"
Toyota Hilux 2022,Toyota,Hilux,2022,foreign used,automatic,"₦ 83,000,000"
Toyota Camry 2016 Black,Toyota,Camry,2016,local used,automatic,"₦ 13,700,000"
Peugeot 206 2002 Black,Peugeot,206,2002,local used,manual,"₦ 2,600,000"
Lexus IS 2009 Silver,Lexus,IS,2009,local used,automatic,"₦ 9,800,000"
Lexus RX 330 2005 Gray,Lexus,RX 330,2005,local used,automatic,"₦ 5,200,000"
Toyota Highlander XLE V6 4x2 (3.5L 6cyl 6A) 2016 Red,Toyota,Highlander XLE,2016,foreign used,automatic,"₦ 32,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Black,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,600,000"
Lexus RX 350 2010 Silver,Lexus,RX 350,2010,local used,automatic,"₦ 16,800,000"
Toyota Tundra 2014 Black,Toyota,Tundra,2014,local used,automatic,"₦ 25,000,000"
Acura MDX 2009 Black,Acura,MDX,2009,foreign used,automatic,"₦ 10,950,000"
Toyota Corolla 2009 Silver,Toyota,Corolla,2009,local used,automatic,"₦ 7,000,000"
Toyota Corolla 1.6 Advanced 2009,Toyota,Corolla 1,2009,local used,automatic,"₦ 6,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Black,Toyota,Camry SE,2019,foreign used,automatic,"₦ 26,500,000"
Hyundai Elantra 2013 Red,Hyundai,Elantra,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Highlander Platinum AWD 2024 Black,Toyota,Highlander Platinum,2024,foreign used,automatic,"₦ 145,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Black,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,000,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2014 White,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 15,500,000"
Toyota Avalon 2015 Black,Toyota,Avalon,2015,foreign used,automatic,"₦ 20,500,000"
Toyota Camry 2013 White,Toyota,Camry,2013,foreign used,automatic,"₦ 12,800,000"
Lexus RX 350 2008 Silver,Lexus,RX 350,2008,foreign used,automatic,"₦ 13,500,000"
Toyota Sienna 2010 Silver,Toyota,Sienna,2010,local used,automatic,"₦ 3,900,000"
Honda Civic 2013 Gray,Honda,Civic,2013,local used,automatic,"₦ 6,000,000"
Toyota Venza AWD 2010 Brown,Toyota,Venza AWD,2010,local used,automatic,"₦ 11,800,000"
Mercedes-Benz GL-Class 2013 Gray,Mercedes-Benz,GL-Class,2013,foreign used,automatic,"₦ 28,000,000"
Lexus RX 350 AWD 2017,Lexus,RX 350,2017,foreign used,automatic,"₦ 44,000,000"
Toyota Corolla LE (1.8L 4cyl 2A) 2018 Red,Toyota,Corolla LE,2018,foreign used,automatic,"₦ 16,000,000"
Ford Focus SE Sedan FWD (2.0L 4cyl 5M) 2012 Silver,Ford,Focus SE,2012,foreign used,automatic,"₦ 6,800,000"
Ford F-150 Automatic 2002 Silver,Ford,F-150 Automatic,2002,foreign used,automatic,"₦ 4,500,000"
Nissan Frontier XE 4x2 King Cab 116.1 in. WB 2002 Gray,Nissan,Frontier XE,2002,foreign used,automatic,"₦ 9,800,000"
Acura MDX Premium 4dr SUV AWD (3.5L 6cyl 5A) 2005 Black,Acura,MDX Premium,2005,foreign used,automatic,"₦ 8,000,000"
Toyota Sienna LE AWD 2006 Gray,Toyota,Sienna LE,2006,foreign used,automatic,"₦ 9,000,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 5M) 2012 Black,Toyota,Corolla L,2012,foreign used,automatic,"₦ 12,800,000"
